precision,recall,f1,rmse_px,rmse_pm,bias_x,bias_y,mae_px,arch,fold,radius,n_images,n_sparse,n_pred,n_gt,count_ratio,f1_macro,f1_frame_sd,coverage,coverage_true,blob_ratio,f1_r1,rmse_r1,f1_r1.5,rmse_r1.5,f1_r2,rmse_r2,f1_r3,rmse_r3,condition
0.9130434782608695,0.9545454545454546,0.9333333333333332,1.8618423739561105,22.882042775920596,-0.7582220090893425,0.9786842320568218,1.0837246539302843,AtomSegNet,1,3.0,1,39,23,22,1.0454545454545454,0.9333333333333332,0.0,0.3216094970703125,0.3176422119140625,1.0124897919969256,0.1333333333333333,0.7803080760618676,0.4,1.1223234427953166,0.6222222222222223,1.4315101622358344,0.9333333333333332,1.8618423739561105,with_n2v
0.8636363636363636,0.8837209302325582,0.8735632183908046,1.5263274730247391,18.758564643474042,0.5923748992671884,-0.3392226541369745,0.7587579938829219,AtomSegNet,2,3.0,2,38,44,43,1.0232558139534884,0.8829787234042554,0.11702127659574463,0.3102874755859375,0.29296875,1.0591145833333333,0.4137931034482759,0.4259411801276268,0.5747126436781609,0.7708551334794763,0.6436781609195402,0.9253465544146262,0.8735632183908046,1.5263274730247391,with_n2v
0.8095238095238095,0.85,0.8292682926829269,1.6242662096872869,19.962231717056756,-1.0541671022535808,-0.2630590055608059,0.9547342138594576,AtomSegNet,3,3.0,1,39,21,20,1.05,0.8292682926829269,0.0,0.2753753662109375,0.2810211181640625,0.9799098658847804,0.1951219512195122,0.6325876010015602,0.4390243902439024,0.9948797301467692,0.6341463414634146,1.3086540428863622,0.8292682926829269,1.6242662096872869,with_n2v
0.7294117647058823,0.7654320987654321,0.7469879518072289,1.605062115907424,19.72621340450224,0.14396744170523965,-0.6676781976339752,0.8981730010467585,AtomSegNet,4,3.0,4,36,85,81,1.0493827160493827,0.7469235033259424,0.16859107718612587,0.29480743408203125,0.28659820556640625,1.0286436842805804,0.20481927710843373,0.574284666593291,0.43373493975903615,0.9654768774500415,0.5542168674698795,1.1827958474941147,0.7469879518072289,1.605062115907424,with_n2v
0.7575757575757576,0.819672131147541,0.7874015748031497,1.4191593290119808,17.441468153557242,0.004077849622652856,-0.42530611697645676,0.7805097421792524,AtomSegNet,5,3.0,3,37,66,61,1.0819672131147542,0.7907407407407407,0.11831579885157993,0.3137156168619792,0.2941436767578125,1.0665387076135637,0.4251968503937008,0.6253270305239789,0.5196850393700788,0.8036600044957386,0.6141732283464568,1.0084699324150832,0.7874015748031497,1.4191593290119808,with_n2v
0.5,0.5454545454545454,0.5217391304347826,2.126934991596672,26.1400310467231,-1.435653452696517,0.8154428260540464,1.3368125896969698,HRNet,1,3.0,1,39,24,22,1.0909090909090908,0.5217391304347826,0.0,0.3278961181640625,0.3176422119140625,1.0322813085459,0.043478260869565216,0.8223451757814108,0.08695652173913043,1.119672266381681,0.17391304347826086,1.4011756314436277,0.5217391304347826,2.126934991596672,with_n2v
0.7727272727272727,0.7906976744186046,0.7816091954022988,1.6932476228996558,20.810013285436767,-0.31489632713487825,-0.8886181818509664,0.9983611467822068,HRNet,2,3.0,2,38,44,43,1.0232558139534884,0.7941489361702128,0.15585106382978725,0.31813812255859375,0.29296875,1.0859114583333334,0.22988505747126436,0.723969286634667,0.367816091954023,0.9763208761421294,0.5977011494252873,1.352978345433342,0.7816091954022988,1.6932476228996558,with_n2v
0.5454545454545454,0.6,0.5714285714285713,1.7639595992737738,21.679063475074678,-0.3896568392500133,-0.7568667088184146,1.047680803285887,HRNet,3,3.0,1,39,22,20,1.1,0.5714285714285713,0.0,0.3303375244140625,0.2810211181640625,1.175490036379432,0.1904761904761905,0.8184996930934413,0.28571428571428564,1.0289632878442276,0.3333333333333333,1.1680037340004032,0.5714285714285713,1.7639595992737738,with_n2v
0.6867469879518072,0.7037037037037037,0.6951219512195121,1.688169184050749,20.747599271983702,0.16491553381761623,-0.35229829845766464,0.950642798360577,HRNet,4,3.0,4,36,83,81,1.0246913580246915,0.6919668179239932,0.19386332588392302,0.286468505859375,0.28659820556640625,0.9995474510847864,0.1829268292682927,0.7024578567148273,0.3658536585365854,1.0040279231988247,0.4878048780487805,1.225510905342921,0.6951219512195121,1.688169184050749,with_n2v
0.7121212121212122,0.7704918032786885,0.7401574803149605,1.5779625907261714,19.393160240024645,0.330472536996145,0.09661802346933586,0.885080157854784,HRNet,5,3.0,3,37,66,61,1.0819672131147542,0.7441798941798942,0.1563100336785641,0.32867431640625,0.2941436767578125,1.1173937853400426,0.2992125984251969,0.6590542304565863,0.4409448818897638,0.8894189905060698,0.5826771653543307,1.1436945126000404,0.7401574803149605,1.5779625907261714,with_n2v
0.9130434782608695,0.9545454545454546,0.9333333333333332,1.2407605519339202,15.248947183267877,0.04980469544187497,0.7584523621510915,0.656006661211628,UNetPP,1,3.0,1,39,23,22,1.0454545454545454,0.9333333333333332,0.0,0.3181915283203125,0.3176422119140625,1.001729355814959,0.5333333333333332,0.6509383709153047,0.6666666666666666,0.7990588084732402,0.8444444444444444,1.0450279737970887,0.9333333333333332,1.2407605519339202,with_n2v
0.9534883720930233,0.9534883720930233,0.9534883720930233,1.1105674401202266,13.648873839077583,0.37441845830054404,-0.11954065620327639,0.5982198479352276,UNetPP,2,3.0,2,38,43,43,1.0,0.9532608695652174,0.0032608695652173725,0.30190277099609375,0.29296875,1.0304947916666667,0.5348837209302325,0.49802931512618714,0.7209302325581395,0.7679851819284792,0.9302325581395349,1.0597619508564424,0.9534883720930233,1.1105674401202266,with_n2v
0.8095238095238095,0.85,0.8292682926829269,1.731319134029368,21.277912157220932,-1.1742682654214847,-0.539734990242606,1.0124263759453132,UNetPP,3,3.0,1,39,21,20,1.05,0.8292682926829269,0.0,0.280609130859375,0.2810211181640625,0.9985339631861867,0.14634146341463414,0.686605180431806,0.3902439024390244,1.1098760325811394,0.6341463414634146,1.3885154804072892,0.8292682926829269,1.731319134029368,with_n2v
0.7619047619047619,0.7901234567901234,0.7757575757575756,1.5189046251072278,18.66733784256783,-0.17650599997274807,-0.7589951534884556,0.8318702632200166,UNetPP,4,3.0,4,36,84,81,1.037037037037037,0.7738359201773837,0.15081051109450808,0.3060188293457031,0.28659820556640625,1.067762544922135,0.27878787878787875,0.6332933914745245,0.43636363636363634,0.9189686497754866,0.606060606060606,1.1891733682293695,0.7757575757575756,1.5189046251072278,with_n2v
0.765625,0.8032786885245902,0.784,1.4533995913735294,17.862280977980674,0.16216967382166833,-0.24960127684389297,0.7712093645424971,UNetPP,5,3.0,3,37,64,61,1.0491803278688525,0.7873200442967886,0.11523182366212925,0.30389404296875,0.2941436767578125,1.033148311459252,0.336,0.6120120744159068,0.544,0.9475347470036466,0.624,1.0631115658193886,0.784,1.4533995913735294,with_n2v
