stem,n_columns,d_px,d_A,d_mad,a1_px,a2_px,angle_deg,indexed_frac,resid_px,exx_sd,eyy_sd,exy_sd,err_exx,err_eyy,err_exy,condition,arch,fold
07347,111,18.725973301534676,2.3014221187586115,0.7905891316442499,28.29892342014109,28.083059636880453,96.42536692738518,0.10810810810810811,3.5767604530683283,0.017805937600235272,0.012597984667006196,0.011713686530804287,0.3383195722593664,0.8774701638911198,0.010039409084132117,with_n2v,AtomSegNet,2
07364,131,18.417707644854186,2.2635362695525796,0.7168146541699318,18.640593961305303,10.0139974719778,74.96738629263734,0.26717557251908397,1.710344169155312,0.025306336086584225,0.01652424779930599,0.01352532731767349,0.013760583315985064,0.014781364302681732,0.003755168282943952,with_n2v,AtomSegNet,2
07370,133,18.532282030439195,2.2776174615409768,0.9243654071675032,18.114721357744976,19.38514283949014,104.12543825763545,0.22556390977443608,2.674508076570344,0.03620616855456282,0.030383190117916622,0.014887063773330112,0.004930384279725919,0.030189066886976645,-0.017081859328824396,with_n2v,AtomSegNet,2
07373,66,21.65218596173549,2.661053654697292,0.3458842119685279,42.506096093622205,30.8429970842092,89.94185579163948,0.12121212121212122,4.4738950393809525,,,,3.0117681703921315,1.001289886685563,-0.36529505437814114,with_n2v,AtomSegNet,2
07376,67,30.99020427509122,3.8086961054087105,3.478596088223675,21.369771088262603,31.036114268016,79.28516417045756,0.26865671641791045,0.7819008558611127,0.009206762684264213,0.008560421936700239,0.004537185947716668,0.009153916549854868,-0.012085295738207047,-0.004811119730275585,with_n2v,AtomSegNet,2
07378,65,30.124742256411253,3.7023308233129426,2.9813354553262883,30.705158475880292,42.32200429555531,90.23196233250292,0.09230769230769231,0.965479795935144,,,,-0.0016051287193080688,0.992217468256281,-0.09153514652891326,with_n2v,AtomSegNet,2
07380,64,28.242244418673963,3.47097183905503,4.260610760155977,21.6876845285508,30.384891945637992,81.92966123152767,0.296875,1.0325290202652897,0.012151830979929829,0.006471316897298378,0.011230970028556704,-0.012023329445848385,0.010151841974364917,0.015147501338641794,with_n2v,AtomSegNet,2
07387,67,21.880441307349596,2.689106236673265,0.9093429005357585,43.39491482543092,30.72260273086418,80.5791627273824,0.04477611940298507,0.29026865535584806,,,,7.764162617628264,0.3076063338266113,2.454083151325769,with_n2v,AtomSegNet,2
07388,67,30.97785260801643,3.8071780855252193,3.8212677152061225,21.584814872329204,30.67399596073992,99.24213523830741,0.26865671641791045,0.6655311801007486,0.007376519010365149,0.007749210811770091,0.008270716714976823,-0.005298077069611717,0.005203706775133599,-0.003957466164577833,with_n2v,AtomSegNet,2
07400,65,21.59475878192767,2.6539958542989104,0.34220943437385287,43.23887183575126,30.833474291648884,100.15063073505426,0.03076923076923077,0.275514810623358,,,,0.07196815481686669,7.9654332643642025,-2.0184010438886193,with_n2v,AtomSegNet,2
