n,bias_x,bias_y,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,matched_frac,sigma_px,crb,condition,arch
132,-0.011221233759805216,0.02768113042635889,0.17986946582914967,0.20382571922483575,0.2727340524334696,07457,50,2,0.25,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.014868901617926866,0.001378883096222694,0.24490185311501317,0.2505229185745679,0.3536396567450091,07457,50,2,0.375,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.006499614248031804,0.09565886585564343,0.14328408871242834,0.15311983609292124,0.2278389062888953,07457,50,2,0.375,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.0011617731223481087,0.035294876866210245,0.21028446650006533,0.16990115849016676,0.2781061106107155,07457,50,2,0.375,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.031760385446325756,-0.010674222491545038,0.26672946364869304,0.2559387034725541,0.3657887576522251,07457,50,2,0.5,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.02319206595736034,0.07095693178061424,0.18665527715811625,0.15650275867967592,0.2435544531448634,07457,50,2,0.5,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.030996963240979447,0.01675926703002517,0.1647594673198289,0.20338244426070373,0.2865900533617522,07457,50,2,0.5,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.004325372675651806,-0.015783662908980034,0.28483143695283514,0.25338231934707345,0.3669674413460094,07457,50,2,0.625,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.016606301635288645,0.06562794777889991,0.1666565899580658,0.169749632591401,0.2484941920922706,07457,50,2,0.625,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.005482812292761707,0.029459393751977814,0.20943700738940457,0.22914176487917357,0.2901808682030902,07457,50,2,0.625,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.048440703952209674,-0.02967335663964832,0.2796047064410797,0.3007976789593852,0.3821243848531221,07457,50,2,0.75,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.023031016750337585,0.059138728882807357,0.1769254098135017,0.1702031878919842,0.24450353236584632,07457,50,2,0.75,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.04356587366719111,0.008343681293970562,0.17756027536671545,0.22501664632501778,0.2805195606223468,07457,50,2,0.75,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.013557777508097502,-0.0032467818157897455,0.27558067529168395,0.2623726854788864,0.37737369278508903,07457,50,2,0.875,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.029770287762886483,0.05945794483336897,0.18207704513745251,0.14579288754097414,0.23717053653891054,07457,50,2,0.875,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03064347994737915,0.011276987687404372,0.19977672998045562,0.20747715948737908,0.26686353947242303,07457,50,2,0.875,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.013830299638946997,-0.007296784107545307,0.2604489273619742,0.26240817355068596,0.34150528489927984,07457,50,3,0.0,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.005893189110821595,0.0722687027435498,0.15775147144784044,0.14013082974761124,0.23545674896084895,07457,50,3,0.0,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.015396378655893272,0.015128507054368967,0.19206799030790586,0.19566656320183726,0.26711104308059086,07457,50,3,0.0,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.0057751560538719104,-0.022668621504870146,0.28063117556092326,0.197674614267816,0.3464795959191707,07457,50,3,0.125,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0002497481102201604,0.040665849431277934,0.15628337191375577,0.17149885063560974,0.22991298430109733,07457,50,3,0.125,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.00927853516822097,-0.017778780182915455,0.18436750077700192,0.20716611391566994,0.2795542585781355,07457,50,3,0.125,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.038493453234266894,-0.027918154208734336,0.26314533690490366,0.25194033264995125,0.3685454986384933,07457,50,3,0.25,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.01557478615367458,0.05640010544195917,0.1322385737151181,0.16053793171382197,0.22849805677442522,07457,50,3,0.25,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.00511691203012532,-0.010193677968196369,0.1976846383191314,0.17913900762256088,0.2763218035384168,07457,50,3,0.25,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.03403465929870464,-0.028569239461134543,0.26207286645039085,0.24714787139168684,0.3554626366971044,07457,50,3,0.375,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.04077622673699466,0.06701013512833143,0.1551477855375566,0.15134474499942313,0.22461495519166583,07457,50,3,0.375,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.014599224964578994,0.005710839744651253,0.17611741797137728,0.18296567918682974,0.2651312586596837,07457,50,3,0.375,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.013367815772923564,-0.009837947480193066,0.28236948234250075,0.2637906283520322,0.3734096860894722,07457,50,3,0.5,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.018081868278727597,0.05806588984548,0.18364009712351387,0.16510114720416583,0.2444721092081038,07457,50,3,0.5,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.013513998819675521,0.03862486398839238,0.18999431510858125,0.19414724974748976,0.2731883217082263,07457,50,3,0.5,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.018127617814275965,-0.011193127714619777,0.27944016526041404,0.2815285946871149,0.3843157537542449,07457,50,3,0.625,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.005607504790859252,0.06367318289139234,0.1881490008273896,0.16817209463194469,0.2522032880878114,07457,50,3,0.625,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.041800898877154324,0.0164382653401276,0.20077420081994482,0.20113779437723328,0.2812898359183974,07457,50,3,0.625,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.02991513142808344,-0.021391452440482794,0.2878873518787548,0.2588463730632816,0.3989449539490369,07457,50,3,0.75,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.029225222959269104,0.07673519665772233,0.2027496729394014,0.16523583888006835,0.25620078212808184,07457,50,3,0.75,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.05533431088456808,0.03017070189824267,0.20173612937404012,0.18477268951539402,0.2823001506553384,07457,50,3,0.75,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.01000078924322878,-0.017592636215098878,0.271784867739825,0.2986167060788133,0.3599605692494801,07457,50,3,0.875,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.0054888898329323865,0.06466588264773065,0.1739554311410592,0.1488938528600246,0.23231663054234403,07457,50,3,0.875,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.028617642548717015,0.01953800865074129,0.2075893698153068,0.19957539877383443,0.27360743866863113,07457,50,3,0.875,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.009060740499798214,-0.020348865528148963,0.271688010926422,0.2557621019425538,0.36286935334148873,07457,50,4,0.0,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.011970954071824025,0.06564244109053874,0.19554426114042237,0.14145751632407644,0.243822947061073,07457,50,4,0.0,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,-0.0013367081128450309,0.010391252854184074,0.20054435498501422,0.17458211534028742,0.27794724395767234,07457,50,4,0.0,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.010844344181535348,-0.030712109852828462,0.24923373363698972,0.30789384770244005,0.3524210633406343,07457,50,4,0.125,prob,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.002447437451550627,0.0768214146569619,0.11947132891674121,0.15861155816749267,0.22228075752647472,07457,50,4,0.125,denoised,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
132,0.02020356268552348,0.03916485631724953,0.1856922531464944,0.19800142546698984,0.2636600028176064,07457,50,4,0.125,raw,1.0,4.647065562235548,0.07932497254432697,with_n2v,AtomSegNet
