n,bias_x,bias_y,bias_mag,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,n_pred,n_true,matched_frac,spurious_frac,sigma_px,crb,condition,arch
132,0.043383048190392515,0.07462233062392443,0.0863167486530639,0.16118934670150661,0.15780237577508524,0.3377049516987594,07364,200,1,0.375,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.009146193913352363,0.0046039778356004035,0.010239603264352755,0.16903234174211462,0.18694943728673727,0.31422675619468704,07364,200,1,0.375,raw,132,133,0.9849624060150376,0.007575757575757569,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.04558822986597022,0.08005635441301706,0.09212657914095766,0.17175506351221048,0.16647269194256625,0.31427787588201406,07364,200,1,0.5,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,-0.009331526229132692,-0.003084666614483922,0.00982815088851932,0.18522362266457307,0.17928327076067818,0.31536314274366023,07364,200,1,0.5,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.04040587348962532,0.09177212283119474,0.10027341193658218,0.18254467079208797,0.1487379117530214,0.3211016461248023,07364,200,1,0.625,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.01521327926343119,0.028968748609372597,0.032720517446094464,0.17340091567047283,0.1991515895338106,0.3061108279344874,07364,200,1,0.625,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.037902038278502914,0.06661835318641351,0.07664574017474704,0.14855863495473057,0.1604203473777003,0.32579776626730705,07364,200,1,0.75,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.003081102575748673,-0.008545909473781421,0.009084369092917358,0.19218278297496968,0.19896544667660773,0.3021619542573202,07364,200,1,0.75,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.03961583506641375,0.07743883323509237,0.08698383344519685,0.20151790715171117,0.14813424370994838,0.3300805307899251,07364,200,1,0.875,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,-0.0021795127460961794,0.009870891298731976,0.010108648319225392,0.17232155165469848,0.18564478561716063,0.3165945843274076,07364,200,1,0.875,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.04982594698445553,0.08540273581184721,0.0988749325008414,0.18284199689770478,0.16102181223862438,0.32867146534999025,07364,200,2,0.0,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.03748605966268315,0.022802594542184806,0.04387667930563475,0.18327036618310116,0.19741364280624618,0.33008053602767556,07364,200,2,0.0,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.04625352815502737,0.0602315211013007,0.07594224780031429,0.18355940019629663,0.15861265569172617,0.328035960707282,07364,200,2,0.125,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.02753399060691919,0.020756321860950777,0.03448108954104115,0.18490805074202118,0.20669710702016822,0.32744555588185215,07364,200,2,0.125,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.024909705617396583,0.1005937463884976,0.10363201844226877,0.16107773565801994,0.16247125946883328,0.31812771144515045,07364,200,2,0.25,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.015565670291429967,0.026875308204857618,0.031057564017926337,0.19348984265504196,0.18612269393635217,0.335085217059212,07364,200,2,0.25,raw,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.05028157164019831,0.07766994576497765,0.09252489892857471,0.19795221111656422,0.1796997751959133,0.34741577329649204,07364,200,2,0.375,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.011683542329080865,0.03110298378294374,0.0332250020550411,0.2324286661379914,0.21782072939821362,0.3177321464334226,07364,200,2,0.375,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.022916457036217253,0.0615171835917927,0.06564699444878737,0.15580997683571257,0.1617115664319806,0.351791162390558,07364,200,2,0.5,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.011902612817635827,0.030100373836759786,0.03236826682105858,0.17587598132790877,0.1898219735921195,0.30197683426249455,07364,200,2,0.5,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.036120002719812305,0.0986941579633438,0.10509610560136234,0.1805996345998536,0.15327016774344585,0.3129275491375291,07364,200,2,0.625,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.002358805051727586,0.04738938587620112,0.04744805428039748,0.17370996318408463,0.1694775289871187,0.29305226740694335,07364,200,2,0.625,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.03360889388130772,0.07532849359469651,0.08248599696415894,0.1597155292155924,0.13882967133209553,0.3205488163502787,07364,200,2,0.75,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.04071202062549162,0.02124410323495951,0.04592146062211079,0.18057573590279288,0.173053152729611,0.3098485908847119,07364,200,2,0.75,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.04162083026659502,0.07874631468704862,0.08906893728383876,0.19545062240807715,0.15106137136379588,0.32309619032766757,07364,200,2,0.875,denoised,132,133,0.9924812030075187,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
131,0.04344868509065236,0.030168998175462036,0.05289571520470924,0.20090753893072064,0.18220770402507858,0.33210573832229484,07364,200,2,0.875,raw,131,133,0.9849624060150376,0.0,2.999999999999986,0.04165850907281803,no_n2v,AtomSegNet
132,0.04153093238079464,0.04747289790797282,0.06307530721446347,0.15654916094696603,0.15577522047173198,0.31307367076242276,07364,1000,0,0.0,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.0195394456310795,no_n2v,AtomSegNet
131,-0.007468717000801206,-0.024211724057582984,0.02533750807555075,0.11787558477243176,0.14740410675533744,0.2652317931452991,07364,1000,0,0.0,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.0195394456310795,no_n2v,AtomSegNet
132,0.045041195779568,0.042619250243518536,0.062008949423232686,0.17064715303452932,0.15145577478867708,0.3095964340310562,07364,1000,0,0.125,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.0195394456310795,no_n2v,AtomSegNet
131,0.005486909508078952,-0.028378136791531006,0.02890371643420086,0.12328303573470205,0.1330292884729737,0.24765085006675264,07364,1000,0,0.125,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.0195394456310795,no_n2v,AtomSegNet
132,0.0450157207580375,0.05474893451460883,0.07087919966993514,0.1516342477096817,0.16494079163113384,0.2927640617470134,07364,1000,0,0.25,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.0195394456310795,no_n2v,AtomSegNet
