stem,dose,blur,tilt,iou,condition,arch,model
00011,50,2.0,0.1,0.9146413752222881,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,50,2.0,0.25,0.907618476304739,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,0.0,0.0,0.9048780487804878,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,0.0,0.1,0.9164142943670502,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,0.0,0.25,0.8876678876678876,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,1.0,0.0,0.9110840438489647,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,1.0,0.1,0.9170702179176755,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,1.0,0.25,0.8904443091905052,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,2.0,0.0,0.9261053906723198,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,2.0,0.1,0.9187089061566049,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,200,2.0,0.25,0.8950542822677925,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,0.0,0.0,0.9034819792302994,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,0.0,0.1,0.9177330895795247,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,0.0,0.25,0.89119804400978,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,1.0,0.0,0.9097010372178157,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,1.0,0.1,0.9163636363636364,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,1.0,0.25,0.8934226552984166,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,2.0,0.0,0.9245283018867925,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,2.0,0.1,0.9225690276110444,no_n2v,AtomSegNet,AtomSegNet no_n2v
00011,1000,2.0,0.25,0.8976377952755905,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,0.0,0.0,0.8946752486834406,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,0.0,0.1,0.8932153392330383,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,0.0,0.25,0.8773255813953489,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,1.0,0.0,0.9010663507109005,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,1.0,0.1,0.8996394230769231,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,1.0,0.25,0.8912280701754386,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,2.0,0.0,0.9140670982931136,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,2.0,0.1,0.8740524781341108,no_n2v,AtomSegNet,AtomSegNet no_n2v
00018,20,2.0,0.25,0.8802325581395349,no_n2v,AtomSegNet,AtomSegNet no_n2v
