psnr,ssim,iou,best_thresh_logit,best_thresh_prob,best_f1,precision,recall,epoch,train_loss,l_den,l_seg,img_per_s,gauss_psnr,lr,time,gpu_gb,condition,arch,fold,epochs_run,batch,eval_batch,grad_accum,effective_batch,oom_retries,n2v_checkpoint,metric_source,source,ckpt,eval_n,mask_threshold,n_val
27.852397918701172,0.864097535610199,0.8118227124214172,0.5,0.6224593312018546,0.8981475071959069,bf16,0.8943557306640625,56.0,1.048062829835169,0.07147729417314354,0.97658553632355,31.780280805221267,22.819168435436136,6.47184747705213e-06,409.93730425834656,15.94955062866211,no_n2v,HRNet,4,60.0,8.0,4.0,4.0,32.0,0.0,,cv_log,D:\Results\without n2v\JSON\hrnet_no_n2v_results.json,,,,
25.936168314889073,0.8043635601045187,0.7823644629097544,,,,,,,,,,,22.348620231792445,,,,no_n2v,UNetPP,3,,,,,,,,backfill_eval,backfill,D:\Results\without n2v\UNetPP\UNetPP_fold3.pt,512.0,0.5,512.0
26.06791877746582,0.8297166228294373,0.7926023006439209,0.5,0.6224593312018546,0.8866609810744743,bf16,0.8809551278598554,59.0,1.154876328278385,0.08776388400361398,1.0671124454992396,45.498102562135074,24.686704699682622,3.2177880431081126e-06,290.30285716056824,13.77831745147705,with_n2v,AtomSegNet,1,60.0,32.0,4.0,1.0,32.0,0.0,atomsegnet_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
25.939756393432617,0.834096372127533,0.7918113470077515,0.5,0.6224593312018546,0.8863313842413132,bf16,0.8808333167524894,60.0,1.1567079028047227,0.08871631881528246,1.0679915856186062,45.45056005229657,25.085668904156645,3.2177880431081126e-06,290.4168517589569,13.77831745147705,with_n2v,AtomSegNet,2,60.0,32.0,4.0,1.0,32.0,0.0,atomsegnet_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
25.76255226135254,0.8326882123947144,0.7927162051200867,0.5,0.6224593312018546,0.8874812651744813,bf16,0.8816528122437166,58.0,1.1479626183390286,0.08780005584603233,1.0601625610194831,45.627404454406566,24.152100154641484,3.8705133625776e-06,289.55933594703674,12.915361881256104,with_n2v,AtomSegNet,3,60.0,32.0,4.0,1.0,32.0,0.0,atomsegnet_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
25.805570602416992,0.8317320346832275,0.7925148606300354,0.5,0.6224593312018546,0.8864003673186698,bf16,0.8811013123964367,58.0,1.1603213002422725,0.08875758187393956,1.0715637182126803,45.42142356897922,22.819168435436136,3.8705133625776e-06,290.6747782230377,13.77831745147705,with_n2v,AtomSegNet,4,60.0,32.0,4.0,1.0,32.0,0.0,atomsegnet_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
25.875612258911133,0.8358688354492188,0.7899358868598938,0.5,0.6224593312018546,0.8855174042466127,bf16,0.8822644740147221,59.0,1.153382884094642,0.08771297932293753,1.0656699051764018,45.584514887153695,25.06240265862158,3.2177880431081126e-06,289.8478808403015,12.916053295135498,with_n2v,AtomSegNet,5,60.0,32.0,4.0,1.0,32.0,0.0,atomsegnet_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
18.8156795501709,0.6992616057395935,0.773063063621521,0.25,0.5621765008857981,0.8699458446091756,bf16,0.8759549164638133,24.0,2.0764505255521173,0.5560651932036229,1.5203853338790803,31.486987436808707,24.686704083468793,0.00020646551606797725,414.0607419013977,17.57292890548706,with_n2v,HRNet,1,32.0,8.0,4.0,4.0,32.0,0.0,hrnet_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
22.67835696414113,0.8007263230119099,0.7762507213628851,,,,,,,,,,,23.12309031779575,,,,with_n2v,HRNet,2,,,,,,,,backfill_eval,D:\Results\with n2v\JSON\cv_results_partial.json,D:\Results\with n2v\HRNet\HRNet_fold2.pt,512.0,0.5,512.0
14.093118667602539,0.5523162484169006,0.808975875377655,0.25,0.5621765008857981,0.8965205253154556,bf16,0.9164722981413944,60.0,1.6970326359225514,0.2610689097584788,1.4359637246490522,14.810369896455814,24.686704699682622,2.9999999999999997e-06,889.8826375007629,20.118951320648193,with_n2v,UNetPP,1,60.0,16.0,4.0,2.0,32.0,0.0,unetpp_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
13.437967300415039,0.5155194401741028,0.8183624148368835,0.5,0.6224593312018546,0.9024584928515359,bf16,0.8992439393570061,60.0,1.6391464868627883,0.2774575610014722,1.3616889271895534,46.745130151511454,25.085668904156645,2.9999999999999997e-06,288.4982707500458,20.118951320648193,with_n2v,UNetPP,2,60.0,16.0,4.0,2.0,32.0,0.0,unetpp_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
27.52783203125,0.8671078085899353,0.8213563561439514,0.5,0.6224593312018546,0.9045071870927075,bf16,0.9018096852929508,57.0,1.3917596205695426,0.07099866304121144,1.320760958706104,47.651259163614235,24.152099554044202,4.9562614025833675e-06,282.70423555374146,18.81387996673584,with_n2v,UNetPP,3,60.0,16.0,4.0,2.0,32.0,0.0,unetpp_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
13.412474632263184,0.5145663619041443,0.7969426512718201,0.25,0.5621765008857981,0.8889972037236276,bf16,0.9060364686314352,60.0,1.8258274039850262,0.2865002115041765,1.5393271932694905,47.44716918120641,22.819167839428097,2.9999999999999997e-06,283.8216736316681,20.118951320648193,with_n2v,UNetPP,4,60.0,16.0,4.0,2.0,32.0,0.0,unetpp_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
11.647297859191895,0.39777258038520813,0.7854185700416565,0.25,0.5621765008857981,0.880305425265117,bf16,0.8856907681043997,36.0,2.085404224714529,0.5661082468657108,1.519295977848818,47.61967571599663,25.06240199547522,0.00010408372277480696,282.81871008872986,20.118974685668945,with_n2v,UNetPP,5,44.0,16.0,4.0,2.0,32.0,0.0,unetpp_n2v.pt,cv_log,D:\Results\with n2v\JSON\cv_results_partial.json,,,,
