condition,arch,fold,image,frac_pos,p_mean,p_frac_undecided,corr,polarity,fft_peak_raw_k,fft_peak_raw_strength,fft_peak_den_k,fft_peak_den_strength,fft_peak_kept
no_n2v,HRNet,1,Diamante-0014.tif,0.3849029541015625,0.38631153106689453,0.3455352783203125,0.7346626625891014,bright,4,2.7391087067256894,4,2.832739140064714,True
no_n2v,HRNet,1,Diamante-0015.tif,0.501983642578125,0.4834210276603699,0.437225341796875,0.3959456268480772,bright,4,3.241301324307807,4,2.968032166249108,True
no_n2v,HRNet,1,Diamante-0016.tif,0.5760498046875,0.5533902645111084,0.4007110595703125,0.5060928723275718,bright,4,3.99144447816608,4,4.505853656384339,True
no_n2v,HRNet,1,Diamante-0017.tif,0.5353546142578125,0.5021722316741943,0.391571044921875,0.4560909653056282,bright,4,2.0251612215754444,4,1.6979401076116818,True
no_n2v,HRNet,1,Diamante-0018.tif,0.4171600341796875,0.41929692029953003,0.4457550048828125,0.34755338285470616,bright,10,1.7295321276475093,10,2.1652555646850935,True
no_n2v,HRNet,1,Diamante-0019.tif,0.435089111328125,0.43199849128723145,0.4530487060546875,0.37255270010516184,bright,10,1.5113006354175216,10,1.9103914786203438,True
no_n2v,HRNet,1,Diamante-0020.tif,0.4568328857421875,0.4594230055809021,0.410552978515625,0.28470788917861817,bright,5,3.1304747497018677,5,4.49158591887013,True
no_n2v,HRNet,1,Diamante-0021.tif,0.46075439453125,0.46976786851882935,0.5323638916015625,0.23791248040500096,bright,5,1.9617316779774752,5,2.0037993010723527,True
no_n2v,HRNet,1,Diamante-0022.tif,0.485198974609375,0.4790650010108948,0.40167236328125,0.5872732275310037,bright,6,3.016556123992835,6,3.5777884615104956,True
no_n2v,HRNet,1,Diamante-0023.tif,0.3731231689453125,0.3941039443016052,0.3915557861328125,0.53195150771525,bright,4,2.8146013470792237,4,2.7105588424179965,True
no_n2v,HRNet,1,Diamante-0024.tif,0.4351043701171875,0.4388512372970581,0.4427032470703125,0.5599611753652995,bright,4,1.7054447598806237,4,1.671452575990783,True
no_n2v,HRNet,1,Diamante-0025.tif,0.43975830078125,0.453488290309906,0.50848388671875,0.2943635603531125,bright,20,1.2920749671087166,15,2.103953711791388,False
no_n2v,HRNet,1,Diamante-0026.tif,0.329437255859375,0.3530186414718628,0.3946533203125,0.5380824146501674,bright,6,2.494206284744049,6,2.401946346540418,True
no_n2v,HRNet,1,Diamante-0027.tif,0.500396728515625,0.4868698716163635,0.5387725830078125,0.3185381232027408,bright,20,1.1968350048236347,16,2.4941915593570805,False
no_n2v,HRNet,1,Diamante-0028.tif,0.315704345703125,0.33298566937446594,0.3778839111328125,0.5633100065546959,bright,4,1.834623862914087,4,1.8144225385440964,True
no_n2v,HRNet,1,Diamante-0029.tif,0.5500946044921875,0.5152695178985596,0.3919525146484375,0.5502539047598736,bright,5,1.4941464491865726,5,1.4532138024407806,True
no_n2v,HRNet,1,Diamante-0030.tif,0.465057373046875,0.4491610825061798,0.35955810546875,0.4971905391252147,bright,4,1.6927351084550966,4,1.4996847204449884,True
no_n2v,HRNet,2,Diamante-0001.tif,0.4950408935546875,0.4985160529613495,0.583770751953125,0.34603003169771884,bright,4,1.0636267863507558,4,2.0211385030283955,True
no_n2v,HRNet,2,Diamante-0004.tif,0.7232818603515625,0.612244725227356,0.5755157470703125,0.4414762505469321,bright,22,1.0997777962379605,14,1.9449714949140404,False
no_n2v,HRNet,2,Diamante-0005.tif,0.5745697021484375,0.5186641216278076,0.49346923828125,0.6313117212840043,bright,4,2.008806506632607,4,2.2258655630616047,True
no_n2v,HRNet,2,Diamante-0006.tif,0.480621337890625,0.47396284341812134,0.3363494873046875,0.4576228873604532,bright,10,1.7341791093841026,10,2.1570875875866977,True
no_n2v,HRNet,2,Diamante-0007.tif,0.4525299072265625,0.4418056607246399,0.399749755859375,0.4342786321157492,bright,11,1.6892554376480646,11,2.107026656346593,True
no_n2v,HRNet,2,Diamante-0008.tif,0.638092041015625,0.5887452363967896,0.4036712646484375,0.43697612243817247,bright,4,2.9196661099296617,4,3.1423255201987716,True
no_n2v,HRNet,2,Diamante-0009.tif,0.56072998046875,0.5311933159828186,0.3691253662109375,0.5845592340330567,bright,5,4.602917836345904,5,4.750523420365619,True
no_n2v,HRNet,2,Diamante-0010.tif,0.58233642578125,0.5490953326225281,0.3892059326171875,0.5646236649821363,bright,6,3.6188744396964765,5,3.894498116967429,True
no_n2v,HRNet,2,Diamante-0011.tif,0.5438690185546875,0.5176593661308289,0.341644287109375,0.5024578424361819,bright,4,2.2089435076127715,4,2.3016602975482896,True
no_n2v,HRNet,2,Diamante-0012.tif,0.538360595703125,0.516823410987854,0.407135009765625,0.47535300100715844,bright,4,4.004886455654313,4,3.329976338700372,True
no_n2v,HRNet,2,Diamante-0013.tif,0.4833221435546875,0.4657817780971527,0.30364990234375,0.6845417030301449,bright,5,1.7782758408144923,5,2.1056841293606157,True
no_n2v,HRNet,2,Diamante-0014.tif,0.42822265625,0.4132685661315918,0.328521728515625,0.7280295159955682,bright,4,2.7391087067256894,4,3.025090623119332,True
no_n2v,HRNet,2,Diamante-0015.tif,0.5980072021484375,0.5625223517417908,0.394622802734375,0.4130397755727735,bright,4,3.241301324307807,4,3.128323139419162,True
no_n2v,HRNet,2,Diamante-0016.tif,0.66558837890625,0.6081026792526245,0.384002685546875,0.48629572906784946,bright,4,3.99144447816608,4,4.552264642652627,True
no_n2v,HRNet,2,Diamante-0017.tif,0.62261962890625,0.5809077620506287,0.3531646728515625,0.4705445872406491,bright,4,2.0251612215754444,4,1.707101994171848,True
no_n2v,HRNet,2,Diamante-0018.tif,0.5250701904296875,0.5086569786071777,0.404693603515625,0.3632164184384503,bright,10,1.7295321276475093,10,2.163151861022712,True
no_n2v,HRNet,2,Diamante-0019.tif,0.529815673828125,0.5187056064605713,0.4109649658203125,0.38642683891965984,bright,10,1.5113006354175216,10,2.0176389107893904,True
no_n2v,HRNet,2,Diamante-0020.tif,0.5592498779296875,0.5275061726570129,0.4474639892578125,0.2704836853097922,bright,5,3.1304747497018677,5,4.2892823485174905,True
no_n2v,HRNet,2,Diamante-0021.tif,0.579986572265625,0.5454506874084473,0.5571441650390625,0.22206606283443317,bright,5,1.9617316779774752,5,1.8685824149450836,True
no_n2v,HRNet,2,Diamante-0022.tif,0.5860137939453125,0.5470376014709473,0.378326416015625,0.5815279867558059,bright,6,3.016556123992835,6,3.9207812858044244,True
no_n2v,HRNet,2,Diamante-0023.tif,0.47955322265625,0.47778967022895813,0.3609161376953125,0.521603346765863,bright,4,2.8146013470792237,5,3.3563216369527202,True
no_n2v,HRNet,2,Diamante-0024.tif,0.5895538330078125,0.5329403877258301,0.4648895263671875,0.609662736647931,bright,4,1.7054447598806237,4,1.8767214636729959,True
